#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=60 keyint_min=31 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:125 out:126 type:B dur:2 cpbdur:2 q:30.03 aq:22.70 tex:1525 mv:2116 misc:983 imb:25 pmb:215 smb:1380 d:t ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:30.03 aq:23.09 tex:2293 mv:3180 misc:1351 imb:49 pmb:345 smb:1226 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:30.03 aq:22.03 tex:16605 mv:7902 misc:1285 imb:811 pmb:275 smb:534 d:s ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:30.03 aq:22.12 tex:4218 mv:4376 misc:1534 imb:78 pmb:498 smb:1044 d:t ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:30.03 aq:23.60 tex:2215 mv:2801 misc:1320 imb:37 pmb:340 smb:1243 d:s ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:30.03 aq:23.08 tex:1978 mv:2893 misc:1361 imb:42 pmb:355 smb:1223 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:30.03 aq:22.24 tex:19890 mv:9272 misc:1078 imb:955 pmb:324 smb:341 d:s ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:30.03 aq:22.02 tex:3194 mv:4037 misc:1433 imb:87 pmb:370 smb:1163 d:t ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:30.03 aq:22.83 tex:3044 mv:3358 misc:1494 imb:53 pmb:470 smb:1097 d:s ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:30.03 aq:22.88 tex:2159 mv:2814 misc:1315 imb:51 pmb:321 smb:1248 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:30.03 aq:21.69 tex:16921 mv:7741 misc:1258 imb:821 pmb:276 smb:523 d:s ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:30.03 aq:21.96 tex:4451 mv:4864 misc:1533 imb:134 pmb:430 smb:1056 d:t ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:30.03 aq:22.51 tex:2409 mv:3347 misc:1404 imb:54 pmb:409 smb:1157 d:s ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:30.03 aq:22.43 tex:2760 mv:3308 misc:1476 imb:50 pmb:433 smb:1137 d:- ref:0 ;
in:143 out:140 type:P dur:2 cpbdur:2 q:30.03 aq:21.61 tex:15334 mv:7849 misc:1353 imb:808 pmb:301 smb:511 d:s ref:0 ;
in:141 out:141 type:B dur:2 cpbdur:2 q:30.03 aq:21.47 tex:4487 mv:4270 misc:1611 imb:89 pmb:521 smb:1010 d:t ref:0 ;
in:140 out:142 type:b dur:2 cpbdur:2 q:30.03 aq:23.03 tex:2675 mv:2981 misc:1368 imb:49 pmb:373 smb:1198 d:s ref:0 ;
